Nombre provincia,Nombre municipio,Nombre completo,Nombre,Número,Dirección,Enlace
ALAVA,ALEGRIA-DULANTZI,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,AMURRIO,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,ARAMAIO,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,ARTZINIEGA,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,ARMIÑON,VITORIA - GASTEIZ 3,VITORIA - GASTEIZ,3,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-03
ALAVA,ARRAZUA-UBARRUNDIA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,ASPARRENA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,AYALA/AIARA,AMURRIO,AMURRIO,,"Elexondo, 19",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/amurrio/registro-de-la-propiedad-de-amurrio
ALAVA,BAÑOS DE EBRO/MAÑUETA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,BARRUNDIA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
ALAVA,BERANTEVILLA,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,BERNEDO,LAGUARDIA,LAGUARDIA,,"Avda. Diputación, 4-B",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/laguardia/registro-de-la-propiedad-de-laguardiabiasteri
ALAVA,CAMPEZO/KANPEZU,VITORIA - GASTEIZ 5,VITORIA - GASTEIZ,5,"Portal de Castilla, 5 y 7",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-05
ALAVA,ZIGOITIA,VITORIA - GASTEIZ 1,VITORIA - GASTEIZ,1,"Portal de Castilla, 7 - bajo",https://www.registradores.org/directorio/-/registros/propiedad/araba--alava/vitoria-gasteiz/registro-de-la-propiedad-de-vitoria-gasteiz-n-01
